Player,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G
Drake London,USC,Pac-12,JR,WR,8,88,1084,12.3,7,135.5
Garrett Wilson,Ohio St.,Big Ten,JR,WR,11,70,1058,15.1,12,96.2
Chris Olave,Ohio St.,Big Ten,SR,WR,11,65,936,14.4,13,85.1
Jameson Williams,Alabama,SEC,JR,WR,15,79,1572,19.9,15,104.8
Jahan Dotson,Penn St.,Big Ten,SR,WR,12,91,1182,13.0,12,98.5
Treylon Burks,Arkansas,SEC,JR,WR,12,66,1104,16.7,11,92.0
Christian Watson,North Dakota St.,MVFC,SR,WR,12,43,801,18.6,7,66.8
Wan'Dale Robinson,Kentucky,SEC,JR,WR,13,104,1334,12.8,7,102.6
John Metchie,Alabama,SEC,JR,WR,13,96,1142,11.9,8,87.8
Tyquan Thornton,Baylor,Big 12,SR,WR,14,62,948,15.3,10,67.7
George Pickens,Georgia,SEC,JR,WR,4,5,107,21.4,0,26.8
Alec Pierce,Cincinnati,AAC,SR,WR,14,52,884,17.0,8,63.1
Skyy Moore,Western Michigan,MAC,JR,WR,12,95,1292,13.6,10,107.7
Velus Jones Jr.,Tennessee,SEC,SR,WR,13,62,807,13.0,7,62.1
Jalen Tolbert,South Alabama,Sun Belt,SR,WR,12,82,1474,18.0,8,122.8
David Bell,Purdue,Big Ten,JR,WR,11,93,1286,13.8,6,116.9
Danny Gray,SMU,AAC,SR,WR,10,49,803,16.4,9,80.3
Erik Ezukanma,Texas Tech,Big 12,JR,WR,10,48,705,14.7,4,70.5
Romeo Doubs,Nevada,MWC,SR,WR,11,80,1109,13.9,11,100.8
Calvin Austin,Memphis,AAC,SR,WR,12,74,1149,15.5,8,95.8
Khalil Shakir,Boise St.,MWC,SR,WR,12,77,1117,14.5,7,93.1
Montrell Washington,Samford,SoCon,SR,WR,9,60,813,13.6,9,90.3
Kyle Philips,UCLA,Pac-12,JR,WR,11,59,739,12.5,10,67.2
Jalen Nailor,Michigan St.,Big Ten,JR,WR,9,37,695,18.8,6,77.2
Michael Woods II,Oklahoma,Big 12,SR,WR,12,35,400,11.4,2,33.3
Bo Melton,Rutgers,Big Ten,SR,WR,12,55,618,11.2,3,51.5
Dareke Young,Lenoir-Rhyne,SAC,SR,WR,7,25,303,12.1,4,43.3
Samori Toure,Nebraska,Big Ten,SR,WR,12,46,898,19.5,5,74.8
